topic,strategy,rank,tts,tts_tfidf,kis
372,s1,5,document,document,tribal
372,s1,6,discuss,autonomi,pequot
372,s1,7,growth,tribal,state
372,s1,8,gambl,discuss,mohawk
372,s1,9,relev,relev,reserv
372,s1,10,includ,implic,foxwood
330,s1,1,iran,cooper,iran
330,s1,2,cooper,iran,iraq
330,s1,3,queri,queri,iranian
330,s1,4,look,etc,iraqi
330,s1,5,exampl,benefici,war
330,s1,6,friendli,relev,teheran
330,s1,7,ti,sanction,gulf
330,s1,8,between,mutual,ceas
330,s1,9,iraq,collabor,baghdad
330,s1,10,wai,friendli,shiit
375,s1,1,hydrogen,hydrogen,hydrogen
375,s1,2,energi,energi,fuel
375,s1,3,what,fusion,fusion
375,s1,4,statu,feasibl,cell
375,s1,5,research,research,energi
375,s1,6,feasibl,relev,car
375,s1,7,sourc,fuel,vehicl
375,s1,8,relev,document,electr
375,s1,9,document,statu,power
375,s1,10,describ,progress,hybrid
378,s1,1,euro,euro,euro
378,s1,2,opposit,opposit,european
378,s1,3,identifi,document,currenc
378,s1,4,document,relev,europ
378,s1,5,discuss,currenc,britain
378,s1,6,us,us,monetari
378,s1,7,european,european,treati
378,s1,8,currenc,oppos,union
378,s1,9,relev,identifi,germani
378,s1,10,should,individu,blair
379,s1,1,mainstream,impair,educ
379,s1,2,identifi,mainstream,student
379,s1,3,document,mental,special
379,s1,4,discuss,document,school
379,s1,5,children,children,disabl
379,s1,6,physic,physic,children
379,s1,7,mental,con,classroom
379,s1,8,impair,relev,teacher
379,s1,9,relev,belief,class
379,s1,10,includ,attitud,district
336,s1,1,black,bear,bear
336,s1,2,bear,relev,hunt
336,s1,3,attack,black,wildlif
336,s1,4,relev,viciou,grizzli
336,s1,5,document,savag,black
336,s1,6,would,attack,anim
336,s1,7,discuss,document,kill
336,s1,8,frequenc,caus,popul
336,s1,9,viciou,aforement,human
336,s1,10,worldwid,vicious,state
414,s1,1,cuba,sugar,cuba
414,s1,2,sugar,cuba,castro
414,s1,3,export,export,cuban
414,s1,4,how,relev,soviet
414,s1,5,much,explicitli,sugar
414,s1,6,doe,statist,gorbachev
414,s1,7,which,unless,cargil
414,s1,8,countri,document,union
414,s1,9,import,mention,econom
414,s1,10,relev,regard,fidel
416,s1,1,three,project,dam
416,s1,2,gorg,gorg,china
416,s1,3,project,ongo,yangtz
416,s1,4,what,relev,gorg
416,s1,5,ongo,estim,project
416,s1,6,statu,ecolog,river
416,s1,7,relev,actual,chines
416,s1,8,document,output,water
416,s1,9,provid,electr,flood
416,s1,10,actual,document,chongq
614,s1,1,flavr,flavr,genet
614,s1,2,savr,savr,tomato
614,s1,3,tomato,tomato,calgen
614,s1,4,find,genet,biotechnolog
614,s1,5,inform,relev,food
614,s1,6,about,calgen,gene
614,s1,7,first,saver,plant
614,s1,8,genet,document,monsanto
614,s1,9,modifi,food,engin
614,s1,10,food,modifi,crop
419,s1,1,recycl,tire,tire
419,s1,2,automobil,recycl,recycl
419,s1,3,tire,automobil,rubber
419,s1,4,what,filler,landfil
419,s1,5,new,binder,plant
419,s1,6,us,reef,environment
419,s1,7,have,asphalt,burn
419,s1,8,been,roadwai,us
419,s1,9,develop,distil,materi
419,s1,10,old,habitat,seneca
341,s1,1,airport,relev,airport
341,s1,2,secur,luggag,secur
341,s1,3,relev,screen,airlin
341,s1,4,document,airport,passeng
341,s1,5,would,flight,bag
341,s1,6,discuss,step,machin
341,s1,7,effect,passeng,explos
341,s1,8,effort,baggag,luggag
341,s1,9,better,scrutin,aviat
341,s1,10,scrutin,addit,bomb
344,s1,1,abus,abus,mail
344,s1,2,e,e,e
344,s1,3,avail,payer,employe
344,s1,4,mani,system,messag
344,s1,5,peopl,dissatisfact,compani
344,s1,6,through,entiti,privaci
344,s1,7,job,relat,monitor
344,s1,8,school,relev,comput
344,s1,9,affili,cost,employ
344,s1,10,ha,affili,ethic
345,s1,1,oversea,u.,tobacco
345,s1,2,tobacco,tobacco,cigarett
345,s1,3,sale,oversea,philip
345,s1,4,health,health,morri
345,s1,5,studi,sale,rjr
345,s1,6,primarili,impact,compani
345,s1,7,u.,econom,nabisco
345,s1,8,have,caus,smoke
345,s1,9,caus,relev,percent
345,s1,10,reduct,decreas,brand
389,s1,1,illeg,entiti,toshiba
389,s1,2,technolog,transfer,export
389,s1,3,transfer,illeg,nuclear
389,s1,4,what,purpos,technolog
389,s1,5,specif,specif,offici
389,s1,6,entiti,indirectli,missil
389,s1,7,have,technolog,china
389,s1,8,been,etc,p.r.c
389,s1,9,accus,government,khan
389,s1,10,sell,relev,compani
422,s1,1,art,stolen,stolen
422,s1,2,stolen,relev,museum
422,s1,3,forg,forg,art
422,s1,4,what,art,paint
422,s1,5,incid,mass,theft
422,s1,6,have,etc,thiev
422,s1,7,been,reproduct,artwork
422,s1,8,instanc,pirat,galleri
422,s1,9,ani,softwar,work
422,s1,10,media,decor,recov
620,s1,1,franc,franc,test
620,s1,2,nuclear,nuclear,french
620,s1,3,test,document,nuclear
620,s1,4,how,protest,franc
620,s1,5,did,test,chirac
620,s1,6,respond,relev,mururoa
620,s1,7,protest,pacif,greenpeac
620,s1,8,against,regard,atol
620,s1,9,it,ani,pacif
620,s1,10,south,type,polynesia
423,s1,1,milosev,mirjana,milosev
423,s1,2,mirjana,markov,serbia
423,s1,3,markov,milosev,serbian
423,s1,4,find,relev,belgrad
423,s1,5,refer,mira,kosovo
423,s1,6,wife,wife,mr
423,s1,7,ani,mention,markov
423,s1,8,mention,serbian,serb
423,s1,9,serbian,refer,yugoslav
423,s1,10,presid,nicknam,draskov
347,s1,1,wildlif,speci,wildlif
347,s1,2,extinct,extinct,eleph
347,s1,3,spot,wildlif,speci
347,s1,4,owl,prevent,rhino
347,s1,5,episod,countri,tiger
347,s1,6,america,effort,poacher
347,s1,7,highlight,owl,ivori
347,s1,8,u.,demis,anim
347,s1,9,effort,u.,panda
347,s1,10,prevent,specifi,poach
426,s1,1,law,dog,dog
426,s1,2,enforc,relev,polic
426,s1,3,dog,enforc,bomb
426,s1,4,provid,handler,secur
426,s1,5,inform,inform,said
426,s1,6,us,law,snif
426,s1,7,worldwid,worldwid,airport
426,s1,8,purpos,item,search
426,s1,9,relev,purpos,offic
426,s1,10,item,specif,explos
427,s1,1,uv,uv,ozon
427,s1,2,damag,damag,ultraviolet
427,s1,3,ey,relev,cataract
427,s1,4,find,document,ey
427,s1,5,document,discuss,radiat
427,s1,6,discuss,ocular,skin
427,s1,7,ultraviolet,ey,chemic
427,s1,8,light,melanoma,chlorofluorocarbon
427,s1,9,from,cataract,sun
427,s1,10,sun,ultraviolet,sunglass
307,s1,1,new,relev,dam
307,s1,2,hydroelectr,project,project
307,s1,3,project,hydroelectr,china
307,s1,4,identifi,reservoir,river
307,s1,5,propos,propos,quebec
307,s1,6,under,locat,hydroelectr
307,s1,7,construct,exist,yangtz
307,s1,8,countri,minimum,gorg
307,s1,9,locat,facil,water
307,s1,10,detail,underwai,hydro
626,s1,1,human,stamped,stamped
626,s1,2,stamped,relev,pilgrim
626,s1,3,find,human,were
626,s1,4,report,document,peopl
626,s1,5,have,mention,crowd
626,s1,6,result,event,fire
626,s1,7,20,anim,kill
626,s1,8,more,entertain,saudi
626,s1,9,death,restaur,said
626,s1,10,document,bar,club
393,s2,1,merci kill,relev merci,kevorkian suicid
393,s2,2,merci identifi,relev case,kevorkian patient
393,s2,3,merci document,relev kill,kevorkian doctor
393,s2,4,merci discuss,relev mention,kevorkian euthanasia
393,s2,5,merci all,relev descript,kevorkian dr
393,s2,6,merci individu,relev murder,kevorkian assist
393,s2,7,merci case,relev document,kevorkian die
393,s2,8,merci relev,relev victim,kevorkian death
393,s2,9,merci except,relev specif,kevorkian medic
393,s2,10,merci letter,relev identifi,kevorkian court
350,s2,1,health comput,termin carpel,ergonom comput
350,s2,2,health termin,termin comput,ergonom keyboard
350,s2,3,health hazard,termin health,ergonom injuri
350,s2,4,health individu,termin cataract,ergonom vdt
350,s2,5,health work,termin daili,ergonom repetit
350,s2,6,health daili,termin allevi,ergonom termin
350,s2,7,health basi,termin fatigu,ergonom worker
350,s2,8,health relev,termin disord,ergonom wrist
350,s2,9,health document,termin tunnel,ergonom carpal
350,s2,10,health would,termin relev,ergonom work
394,s2,1,home school,data relev,school home
394,s2,2,home identifi,data home,school children
394,s2,3,home document,data educ,school parent
394,s2,4,home discuss,data environ,school educ
394,s2,5,home educ,data document,school schooler
394,s2,6,home children,data children,school student
394,s2,7,home relev,data school,school she
394,s2,8,home would,data disadvantag,school teacher
394,s2,9,home contain,data classroom,school famili
394,s2,10,home ani,data therefor,school teach
353,s2,1,antarctica explor,antarctica scientif,antarctica ozon
353,s2,2,antarctica identifi,antarctica systemat,antarctica ic
353,s2,3,antarctica systemat,antarctica explor,antarctica antarct
353,s2,4,antarctica scientif,antarctica document,antarctica scientist
353,s2,5,antarctica investig,antarctica ionospher,antarctica atmospher
353,s2,6,antarctica current,antarctica seismolog,antarctica dr
353,s2,7,antarctica plan,antarctica non,antarctica pole
353,s2,8,antarctica document,antarctica e.g,antarctica sea
353,s2,9,antarctica discuss,antarctica discuss,antarctica deplet
353,s2,10,antarctica follow,antarctica identifi,antarctica warm
397,s2,1,automobil recal,automobil recal,recal car
397,s2,2,automobil identifi,automobil document,recal ford
397,s2,3,automobil document,automobil relev,recal vehicl
397,s2,4,automobil discuss,automobil discuss,recal defect
397,s2,5,automobil reason,automobil specifi,recal motor
397,s2,6,automobil relev,automobil reason,recal safeti
397,s2,7,automobil specifi,automobil truck,recal mitsubishi
397,s2,8,automobil major,automobil manufactur,recal model
397,s2,9,automobil minor,automobil identifi,recal toyota
397,s2,10,automobil car,automobil minor,recal problem
310,s2,1,radio wave,cancer brain,cancer electromagnet
310,s2,2,radio brain,cancer radio,cancer studi
310,s2,3,radio cancer,cancer mobil,cancer field
310,s2,4,radio evid,cancer tower,cancer radiat
310,s2,5,radio from,cancer phone,cancer brain
310,s2,6,radio tower,cancer car,cancer phone
310,s2,7,radio car,cancer incid,cancer tumor
310,s2,8,radio mobil,cancer wave,cancer cell
310,s2,9,radio phone,cancer popul,cancer power
310,s2,10,radio affect,cancer occurr,cancer microwav
354,s2,1,journalist risk,journalist hostag,journalist pearl
354,s2,2,journalist identifi,journalist e.g,journalist kill
354,s2,3,journalist instanc,journalist instanc,journalist report
354,s2,4,journalist where,journalist arrest,journalist mr
354,s2,5,journalist ha,journalist identifi,journalist hostag
354,s2,6,journalist been,journalist risk,journalist sheikh
354,s2,7,journalist put,journalist kill,journalist kidnap
354,s2,8,journalist e.g,journalist relev,journalist pakistani
354,s2,9,journalist kill,journalist taken,journalist pakistan
354,s2,10,journalist arrest,journalist perform,journalist american
355,s2,1,ocean remot,remot ocean,satellit ocean
355,s2,2,ocean sens,remot relev,satellit earth
355,s2,3,ocean identifi,remot sens,satellit sea
355,s2,4,ocean document,remot applic,satellit scientist
355,s2,5,ocean discuss,remot document,satellit climat
355,s2,6,ocean develop,remot seab,satellit ic
355,s2,7,ocean applic,remot oceanographi,satellit data
355,s2,8,ocean space,remot apertur,satellit dr
355,s2,9,ocean oceanographi,remot mine,satellit space
355,s2,10,ocean seab,remot discuss,satellit water
399,s2,1,oceanograph vessel,oceanograph vessel,ship ocean
399,s2,2,oceanograph identifi,oceanograph relev,ship sea
399,s2,3,oceanograph document,oceanograph activ,ship submarin
399,s2,4,oceanograph discuss,oceanograph document,ship deep
399,s2,5,oceanograph activ,oceanograph equip,ship water
399,s2,6,oceanograph equip,oceanograph oceanographi,ship scientist
399,s2,7,oceanograph relev,oceanograph undersea,ship vessel
399,s2,8,oceanograph contain,oceanograph monitor,ship oceanograph
399,s2,9,oceanograph inform,oceanograph ship,ship dr
399,s2,10,oceanograph regardless,oceanograph sunken,ship wreck
356,s2,1,postmenopaus estrogen,estrogen postmenopaus,hormon estrogen
356,s2,2,postmenopaus britain,estrogen kingdom,hormon breast
356,s2,3,postmenopaus identifi,estrogen relev,hormon cancer
356,s2,4,postmenopaus document,estrogen britain,hormon women
356,s2,5,postmenopaus discuss,estrogen hormon,hormon androgen
356,s2,6,postmenopaus us,estrogen suppress,hormon menopaus
356,s2,7,postmenopaus women,estrogen therapi,hormon testosteron
356,s2,8,postmenopaus hormon,estrogen document,hormon therapi
356,s2,9,postmenopaus replac,estrogen unit,hormon studi
356,s2,10,postmenopaus therapi,estrogen british,hormon ovari
433,s2,1,greek philosophi,stoicism stoic,greek novel
433,s2,2,greek stoicism,stoicism greek,greek stockdal
433,s2,3,greek contemporari,stoicism philosophi,greek univers
433,s2,4,greek interest,stoicism relev,greek stoic
433,s2,5,greek actual,stoicism philosoph,greek philosoph
433,s2,6,greek refer,stoicism product,greek life
433,s2,7,greek philosoph,stoicism contemporari,greek mee
433,s2,8,greek product,stoicism artist,greek philosophi
433,s2,9,greek stoic,stoicism actual,greek epictetu
433,s2,10,greek plai,stoicism refer,greek sabbath
435,s2,1,curb popul,popul relev,popul famili
435,s2,2,curb growth,popul curb,popul birth
435,s2,3,curb what,popul measur,popul contracept
435,s2,4,curb measur,popul involuntarili,popul plan
435,s2,5,curb have,popul growth,popul china
435,s2,6,curb been,popul famin,popul women
435,s2,7,curb taken,popul passiv,popul children
435,s2,8,curb worldwid,popul taken,popul steril
435,s2,9,curb countri,popul been,popul child
435,s2,10,curb effect,popul must,popul bangladesh
677,s2,1,lean tower,pisa tower,tower pisa
677,s2,2,lean pisa,pisa lean,tower lean
677,s2,3,lean what,pisa measur,tower tilt
677,s2,4,lean effort,pisa relev,tower jamiolkowski
677,s2,5,lean have,pisa reinforc,tower pisan
677,s2,6,lean been,pisa effort,tower granchi
677,s2,7,lean made,pisa stabil,tower toniolo
677,s2,8,lean stabil,pisa provid,tower reopen
677,s2,9,lean how,pisa document,tower ingot
677,s2,10,lean success,pisa reflect,tower perpendicular
436,s2,1,railwai accid,accid railwai,train accid
436,s2,2,railwai what,accid relev,train railroad
436,s2,3,railwai caus,accid railroad,train derail
436,s2,4,railwai throughout,accid streetcar,train crash
436,s2,5,railwai world,accid safeti,train amtrak
436,s2,6,railwai relev,accid trollei,train track
436,s2,7,railwai document,accid document,train passeng
436,s2,8,railwai provid,accid locomot,train car
436,s2,9,railwai data,accid pedestrian,train said
436,s2,10,railwai ani,accid caus,train rail
439,s2,1,invent scientif,discoveri scientif,patent research
439,s2,2,invent discoveri,discoveri invent,patent dr
439,s2,3,invent what,discoveri relev,patent laser
439,s2,4,invent new,discoveri astronomi,patent chip
439,s2,5,invent have,discoveri patent,patent devic
439,s2,6,invent been,discoveri descript,patent transistor
439,s2,7,invent made,discoveri defin,patent molecul
439,s2,8,invent word,discoveri document,patent optic
439,s2,9,invent descript,discoveri occur,patent silicon
439,s2,10,invent defin,discoveri made,patent nanotub
362,s2,1,human smuggl,smuggl human,immigr smuggl
362,s2,2,human identifi,smuggl incid,immigr smuggler
362,s2,3,human incid,smuggl smuggler,immigr illeg
362,s2,4,human relev,smuggl monetari,immigr chines
362,s2,5,human document,smuggl relev,immigr border
362,s2,6,human show,smuggl ten,immigr said
362,s2,7,human least,smuggl document,immigr mexican
362,s2,8,human ten,smuggl be,immigr ship
362,s2,9,human be,smuggl will,immigr were
362,s2,10,human smuggler,smuggl particip,immigr alien
363,s2,1,transport tunnel,tunnel disast,tunnel train
363,s2,2,transport disast,tunnel relev,tunnel subwai
363,s2,3,transport what,tunnel transport,tunnel fire
363,s2,4,transport have,tunnel document,tunnel station
363,s2,5,transport occur,tunnel occur,tunnel transit
363,s2,6,transport us,tunnel sewag,tunnel passeng
363,s2,7,transport relev,tunnel etc,tunnel said
363,s2,8,transport document,tunnel earthquak,tunnel car
363,s2,9,transport identifi,tunnel accident,tunnel were
363,s2,10,transport train,tunnel flood,tunnel track
321,s2,1,women parliament,represent pertin,women elect
321,s2,2,women pertin,represent women,women polit
321,s2,3,women document,represent parliament,women candid
321,s2,4,women reflect,represent legislatur,women she
321,s2,5,women fact,represent document,women democrat
321,s2,6,women continu,represent inclus,women ms
321,s2,7,women poorli,represent poorli,women woman
321,s2,8,women repres,represent decreas,women vote
321,s2,9,women across,represent mandat,women parliament
321,s2,10,women world,represent gap,women senat
442,s2,1,heroic act,heroic relev,he medal
442,s2,2,heroic find,heroic act,he fire
442,s2,3,heroic account,heroic selfless,he firefight
442,s2,4,heroic selfless,heroic descript,he hi
442,s2,5,heroic individu,heroic document,he rescu
442,s2,6,heroic small,heroic contain,he honor
442,s2,7,heroic group,heroic specif,he hero
442,s2,8,heroic benefit,heroic individu,he heroism
442,s2,9,heroic other,heroic statement,he sergeant
442,s2,10,heroic caus,heroic benefit,he who
443,s2,1,u. invest,u. africa,africa african
443,s2,2,u. africa,u. sub,africa countri
443,s2,3,u. what,u. relev,africa south
443,s2,4,u. extent,u. government,africa aid
443,s2,5,u. govern,u. invest,africa saharan
443,s2,6,u. privat,u. privat,africa debt
443,s2,7,u. sub,u. membership,africa nigeria
443,s2,8,u. all,u. extent,africa world
443,s2,9,u. refer,u. document,africa invest
443,s2,10,u. government,u. contribut,africa sub
367,s2,1,piraci what,piraci vessel,pirat ship
367,s2,2,piraci modern,piraci relev,pirat vessel
367,s2,3,piraci instanc,piraci fish,pirat boat
367,s2,4,piraci have,piraci document,pirat piraci
367,s2,5,piraci been,piraci discuss,pirat klinghoff
367,s2,6,piraci old,piraci board,pirat blyth
367,s2,7,piraci fashion,piraci clash,pirat attack
367,s2,8,piraci board,piraci boat,pirat hijack
367,s2,9,piraci take,piraci non,pirat sea
367,s2,10,piraci control,piraci content,pirat crew
400,s2,1,amazon rain,amazon forest,amazon forest
400,s2,2,amazon forest,amazon rain,amazon brazil
400,s2,3,amazon what,amazon preserv,amazon rain
400,s2,4,amazon measur,amazon measur,amazon environment
400,s2,5,amazon be,amazon endeavor,amazon brazilian
400,s2,6,amazon taken,amazon tropic,amazon deforest
400,s2,7,amazon local,amazon relev,amazon mend
400,s2,8,amazon south,amazon taken,amazon tapper
400,s2,9,amazon american,amazon document,amazon collor
400,s2,10,amazon author,amazon be,amazon indian
445,s2,1,women clergi,clergi e.g,church anglican
445,s2,2,women what,clergi instal,church bishop
445,s2,3,women other,clergi nun,church archbishop
445,s2,4,women countri,clergi church,church women
